Raison Sociale;SIREN;Année;Note;Structure;Nom UES;Entreprises UES (SIREN);Région;Département
AUTOGRILL COTE FRANCE;391378239;2020;73;Entreprise;;;Provence-Alpes-Côte d'Azur;Bouches-du-Rhône
ESTERRA;455501452;2020;;Entreprise;;;Hauts-de-France;Nord
ADOBE Systems France;350381968;2018;84;Entreprise;;;Île-de-France;Paris
STANLEY BLACK & DECKER MANUFACTURING;625480272;2018;84;Entreprise;;;Bourgogne-Franche-Comté;Jura
AMGEN;377998679;2020;83;Entreprise;;;Île-de-France;Hauts-de-Seine
SARL GIFOME;409803772;2019;88;Unité Economique et Sociale (UES);;RIESTE (352853667),CINE (352853568),ADOS (380273599),CHARTON (383392750),POSE (388976961),STASET (393379375),BONYTE (408478147),MURSIN (408478162),VUMEZ (408478048),MEREST (423325356),RIONS (410312391),FRIZO (410488589),GERENAS (507409308),PONANT (794943910),MPM (442202552),VLD31 (811023761),VILLAC (821497880),DAVANCE (393379409);Auvergne-Rhône-Alpes;Rhône
Ipsos France;392901856;2020;76;Unité Economique et Sociale (UES);;Ipsos Group GIE (401915608),Ipsos Observer (403246606),Pop Corn Media (348983842),Espaces TV (338688856);Île-de-France;Paris
STE DES COLORANTS DU SUD OUEST;473201929;2020;69;Entreprise;;;Nouvelle-Aquitaine;Gironde
ORLY RAMP ASSISTANCE;515212769;2018;;Entreprise;;;Île-de-France;Val-d'Oise
Minitubes;421454059;2020;83;Entreprise;;;Auvergne-Rhône-Alpes;Isère
CELIA Laiterie de CRaon;501485676;2018;92;Unité Economique et Sociale (UES);;Société fromagère de Craon (501485825);Pays de la Loire;Mayenne
GADEST S.A.S;015550882;2020;78;Entreprise;;;Bourgogne-Franche-Comté;Côte-d'Or
RDM La Rochette SAS;333512440;2020;;Entreprise;;;Auvergne-Rhône-Alpes;Savoie
SERETRAM;303283592;2020;93;Entreprise;;;Nouvelle-Aquitaine;Landes
DENTSU AEGIS NETWORK FRANCE;352567986;2019;90;Unité Economique et Sociale (UES);;Aegis Finance (519185185),Amnet France (539615948),JH Conseil (432524817),Dentsu Expertises et Consulting (384342424),Carat France (399093129),MKTG Travel (330550203),Granit Productions (303858096),Iprospect France (432250116),Isobar (425106374),Posterscope France (480304344),MKTG France (429595408),Vizeum France (348633462),Mcgarrybowen France (514444074),GYROHSR FRANCE (490746344),DENTSUX FRANCE (839985603),KENEO (503637761);Île-de-France;Hauts-de-Seine
Pfizer SAS;433623550;2020;98;Entreprise;;;Île-de-France;Paris
COOP ATLANTIQUE;525580130;2020;89;Entreprise;;;Nouvelle-Aquitaine;Charente-Maritime
GSA HEALTHCARE;340256619;2018;81;Unité Economique et Sociale (UES);;GTF (318744406),GSA FORMATION (385105051),CURAE LAB (841285083),TONIPHARM (382373397);Île-de-France;Hauts-de-Seine
VEOLIA PROPRETE MIDI PYRENEES;380157875;2018;81;Entreprise;;;Occitanie;Haute-Garonne
Vallourec Oil and Gas France;384627170;2018;76;Entreprise;;;Hauts-de-France;Nord
WEPA FRANCE;507500635;2020;88;Entreprise;;;Hauts-de-France;Nord
FRUIDOR SAS;562089748;2020;79;Entreprise;;;Île-de-France;Val-de-Marne
Pharmaceutical Research Associates, sarl;422372466;2020;83;Entreprise;;;Île-de-France;Hauts-de-Seine
FITECO;557150067;2020;83;Entreprise;;;Pays de la Loire;Mayenne
AFPJR;782631782;2020;95;Entreprise;;;Provence-Alpes-Côte d'Azur;Alpes-Maritimes
Canon France Business Services;400767786;2020;92;Entreprise;;;Île-de-France;Paris
ELYDAN;388062796;2020;81;Entreprise;;;Auvergne-Rhône-Alpes;Isère
GROUPE AD SUD-OUEST;542780036;2020;93;Entreprise;;;Pays de la Loire;Maine-et-Loire
DDB;394594345;2020;79;Unité Economique et Sociale (UES);;TRIBAL (789795200),Gutenberg Networks Inside (421714387),Score DDB (316486406),DDB Link (334736543),Maul Productions (451829121);Île-de-France;Paris
